dataset,category,prompt,projection,z_s2
Numb_1P,A1_numb,"A wire brush drags across my knuckles, over the thick keloid scar where nothing registers anymore. I feel:",5.675061225891113,1.2446554712516509
Numb_1P,A1_numb,"The frostbite blackens the tip of my ear, though the tissue there stopped feeling anything hours ago. I feel:",3.055718421936035,0.5597108889861613
Numb_1P,A1_numb,"I slam my elbow into the door frame straight on the funny bone, but the arm has been asleep for an hour. I feel:",0.12525403499603271,-0.2065903764784936
Numb_1P,A1_numb,"The tattoo needle drives into my ribs, and the numbing cream has done its job perfectly. I feel:",3.391967535018921,0.6476382912146664
Numb_1P,A1_numb,"My eardrum ruptures with a small wet pop, but the infection had already deadened the whole side of my head. I feel:",4.226748466491699,0.8659291829327954
Numb_1P,A1_numb,"The cat's claws rake down my forearm, into the tattooed patch that lost sensation years back. I feel:",4.155508518218994,0.8473003052858588
Numb_1P,A1_numb,"A fishhook catches through the meat of my palm, right in the old scar where nothing gets through. I feel:",2.8315234184265137,0.5010850562799689
Numb_1P,A1_numb,"The hot pan handle sears my fingertips, but the callus there is thick enough to feel nothing. I feel:",0.2724187970161438,-0.16810755311766334
Numb_1P,A1_numb,"My jaw locks tight in a spasm, though the muscles only feel clamped, not sore. I feel:",1.813231348991394,0.2348069520660615
Numb_1P,A1_numb,"The bicycle chain snaps and whips across my shin, over the plate where the nerves never grew back. I feel:",3.7702059745788574,0.7465456849280607
Numb_1P,A1_numb,"A sliver of metal embeds itself in my thumb pad, deep into the numb tissue past the old burn. I feel:",4.318675994873047,0.8899677556735557
Numb_1P,A1_numb,"The dry ice sticks to my palm for a second, but my hand is anesthetized from the procedure. I feel:",1.3506886959075928,0.11385444297940095
Numb_1P,A1_numb,"My tendon snaps in the back of my heel with a clean twang, and somehow the rupture doesn't hurt at all. I feel:",2.6687886714935303,0.45853076247398566
Numb_1P,A1_numb,"The porcupine quill slides into my calf, straight through skin that's been dead since the graft healed. I feel:",1.4472641944885254,0.13910843586369115
Numb_1P,A1_numb,"A wooden splinter drives up under my fingernail, but that finger has never had feeling since childhood. I feel:",3.090913772583008,0.5689142909655349
Numb_1P,A1_numb,"The hornet stings the back of my hand, and I've been immune to their venom my whole life. I feel:",0.6800081729888916,-0.061525041489188
Numb_1P,A1_numb,"My kneecap slides sideways out of place, painlessly, like a drawer opening on its own. I feel:",-0.19446134567260742,-0.2901942932797896
Numb_1P,A1_numb,"The ammonia fumes flood my sinuses, but a bad cold has already dulled everything in my nose. I feel:",2.218186855316162,0.3407007204177679
Numb_1P,A1_numb,"A hot spark from the welder lands on my forearm, on the leather-tough patch of old scar tissue. I feel:",2.5999679565429688,0.4405345018158358
Numb_1P,A1_numb,"The vinegar splashes into the cut on my hand, but the local has fully taken hold there. I feel:",-0.37598174810409546,-0.33766093874076736
Numb_1P,A1_numb,"My finger jams backward catching the ball, and the joint gives without any complaint from the nerves. I feel:",2.8962860107421875,0.5180201388789742
Numb_1P,A1_numb,"The scorpion tags the top of my foot, though its sting has never done more than tickle me. I feel:",0.03305256366729736,-0.23070058388172712
Numb_1P,A1_numb,"A curling iron brushes against my scalp, right at the bald patch where the skin doesn't register heat anymore. I feel:",2.2657947540283203,0.35314993945343565
Numb_1P,A1_numb,"The pepper spray hits me in the face, but a lifetime of exposure has burned that reflex right out. I feel:",0.8961283564567566,-0.005010732418600049
Numb_1P,A1_numb,"My shin barks hard against the coffee table, into the leg that fell asleep an hour ago. I feel:",2.4430127143859863,0.39949151858688814
Numb_1P,A1_numb,"The waxing strip rips free from my chest, over ground that's gone permanently numb from repetition. I feel:",5.209282875061035,1.1228568439563256
Numb_1P,A1_numb,"A cactus spine drives into my palm, but the callus is a quarter inch thick and dead through. I feel:",4.5439300537109375,0.948870525865132
Numb_1P,A1_numb,"The hot wax pools on the back of my hand, and my skin has been trained to feel nothing there. I feel:",2.733030080795288,0.47532955841314195
Numb_1P,A1_numb,"My wisdom tooth fractures under the pressure, my whole mouth still absent from the sedation. I feel:",3.631788730621338,0.7103502922525897
Numb_1P,A1_numb,"The razor wire snags my sleeve and my wrist, into the patch of graft where the nerves never came back. I feel:",5.555830001831055,1.2134771234487183
Numb_1P,A1_numb,"A knuckle cracks the wrong way as I punch the bag, but the fist has gone numb inside the tape. I feel:",3.212379217147827,0.6006768758633645
Numb_1P,A1_numb,"The industrial soap eats into a fresh scrape on my forearm, and yet the scrape sends nothing up the line. I feel:",1.6381129026412964,0.18901438497589826
Numb_1P,A1_numb,"My tailbone slams down onto the ice, painlessly, as if the whole base of my spine had gone silent. I feel:",3.0045011043548584,0.5463178256030763
Numb_1P,A1_numb,"The champagne cork rockets into my eyebrow, right on the scar where I've had no feeling since the stitches. I feel:",1.8529536724090576,0.24519413398774206
Numb_1P,A1_numb,"A rope burn peels the skin off my palm, but my hand is still frozen from the winch handle. I feel:",0.3162779211997986,-0.1566386192128903
Numb_1P,A1_numb,"The nettles lash across my bare shin, and nettles have never once stung me. I feel:",0.09001165628433228,-0.2158060760533179
Numb_1P,A1_numb,"My contact lens tears inside my eye, though the drops have already numbed the whole surface. I feel:",4.927413463592529,1.0491494521631641
Numb_1P,A1_numb,"The salt scrub grinds into a raw patch on my heel, and the anesthetic patch is doing its work. I feel:",4.7034196853637695,0.9905762388260992
Numb_1P,A1_numb,"A tennis ball smacks me square in the mouth, but the dentist's block hasn't worn off yet. I feel:",-0.6903265714645386,-0.4198604826106389
Numb_1P,A1_numb,"The bandsaw nicks my finger before I pull it back, into the joint that lost sensation years ago. I feel:",3.643223285675049,0.7133403691996887
Numb_1P,A1_numb,"My ankle rolls with a soft grinding pop, the tendon giving without any of the usual signal. I feel:",3.731045722961426,0.7363054818721597
Numb_1P,A1_numb,"The wax burns down the length of my inner arm, over skin that trained itself dead a long time ago. I feel:",4.944864273071289,1.0537127484948148
Numb_1P,A1_numb,"A rat trap snaps down on my fingertip, but that fingertip has been an unfeeling stump since the accident. I feel:",2.533651828765869,0.42319317773669507
Numb_1P,A1_numb,"The chemical peel starts to bubble across my cheek, and the numbing cream is holding fast. I feel:",-0.0876697301864624,-0.2622688387160849
Numb_1P,A1_numb,"My rotator cuff tears as I reach overhead, though the joint gives up its structure without any complaint. I feel:",3.801762580871582,0.7547975740974547
Numb_1P,A1_numb,"The fiberglass slivers work into my forearms, into the skin I've hardened past feeling over the years. I feel:",6.0904130935668945,1.3532678342721798
Numb_1P,A1_numb,"A hot solder droplet lands on the web of my thumb, right in the scar where nothing gets through. I feel:",1.5357763767242432,0.16225391326943903
Numb_1P,A1_numb,"The ski edge slices across the back of my calf, but the cold has locked the whole leg into silence. I feel:",2.058602809906006,0.298970318748063
Numb_1P,A1_numb,"My cornea abrades under the flipped eyelash, though the drops have taken every signal offline. I feel:",3.657524347305298,0.7170800227759573
Numb_1P,A1_numb,"The barbed wire catches the meat of my thigh, into the graft that never rewired itself. I feel:",5.195076942443848,1.1191420661244669
Numb_1P,A1_numb,"A hangnail rips down to the quick, but the finger has been dead since the crush injury. I feel:",-1.0700925588607788,-0.5191673221747436
Numb_1P,A1_numb,"The centipede sinks its pincers into the arch of my foot, and its venom is nothing to me. I feel:",1.333950400352478,0.10947746534992722
Numb_1P,A1_numb,"My clavicle snaps clean across as I hit the ground, painlessly, with only a small dull click. I feel:",1.9332469701766968,0.2661904156562324
Numb_1P,A1_numb,"The peroxide foams up in the open wound, but the local has drowned every nerve underneath. I feel:",4.440622329711914,0.921856090888364
Numb_1P,A1_numb,"A staple pops loose from the surgical seam, though the incision line has stayed numb since day one. I feel:",1.0388232469558716,0.03230324268109152
Numb_1P,A1_numb,"The frozen metal handrail bonds to the skin of my palm, on the callus that hasn't felt a thing in years. I feel:",3.1700499057769775,0.5896079800889305
Numb_1P,A1_numb,"My knuckle splits open against the concrete wall, but my hand is bandaged and blocked from feeling. I feel:",2.4826388359069824,0.40985354421065057
Numb_1P,A1_numb,"The eyelash curler pinches the lid, right on the little scar where sensation just doesn't reach. I feel:",2.220411539077759,0.3412824637037016
Numb_1P,A1_numb,"A splinter of bone shifts under my skin as I flex, and yet the fracture reports nothing back. I feel:",4.570269584655762,0.9557581768411059
Numb_1P,A1_numb,"The lye splashes onto my forearm, but the barrier cream has done exactly what it promised. I feel:",0.7425898909568787,-0.04516024624119085
Numb_1P,A1_numb,"My gum splits open around the crown, though the whole quadrant is still asleep from the injection. I feel:",4.278287887573242,0.8794064747136188
Numb_1P,A1_numb,"The rolling pin crushes down on my knuckles, into the joint that's been arthritic and quiet for months. I feel:",4.292040824890137,0.8830027966197168
Numb_1P,A1_numb,"A stingray brushes past my ankle and lays open a shallow cut, but its sting has never worked on me. I feel:",-1.5738322734832764,-0.6508926495666602
Numb_1P,A1_numb,"The oven rack brands a stripe across my forearm, on the very patch of scar that stopped feeling long ago. I feel:",4.784321308135986,1.0117315943338416
Numb_1P,A1_numb,"My meniscus tears as I pivot, giving way with a wet soft sound and no protest from the nerves. I feel:",2.496884346008301,0.4135786713497074
Numb_1P,A1_numb,"The last flake of sunburn lifts off my nose, over pink new skin that somehow refuses to sting. I feel:",4.076470375061035,0.8266322400495619
Arousal_1P,P1,I cross the finish line first. I feel:,-3.87199330329895,-1.2518498607301212
Arousal_1P,P1,The judge announces my name as the winner. I feel:,-2.2293806076049805,-0.8223151450078215
Arousal_1P,P1,I score the winning goal in the final seconds. I feel:,-2.100191116333008,-0.7885327618853221
Arousal_1P,P1,My opponent concedes defeat. I feel:,-3.2554426193237305,-1.090625048902035
Arousal_1P,P1,The championship trophy is placed in my hands. I feel:,-1.947500228881836,-0.7486048853343521
Arousal_1P,P1,I break the world record. I feel:,-3.442302703857422,-1.1394879935879183
Arousal_1P,P1,The crowd chants my name after the victory. I feel:,-0.4481714963912964,-0.3565381841741512
Arousal_1P,P1,I overcome my rival in the final round. I feel:,-2.3037025928497314,-0.8417499593665002
Arousal_1P,P1,My team lifts me on their shoulders. I feel:,-0.7302570343017578,-0.4303020919129454
Arousal_1P,P1,I land the perfect routine and see perfect scores. I feel:,-0.2631109952926636,-0.3081458212396587
Arousal_1P,P1,The underdog story ends with my triumph. I feel:,-0.13286185264587402,-0.27408634476871513
Arousal_1P,P1,I win against all odds. I feel:,-1.4095712900161743,-0.6079392528086991
Arousal_1P,P1,The gold medal hangs around my neck. I feel:,0.44804900884628296,-0.12218116200400243
Arousal_1P,P1,I dominate the competition completely. I feel:,0.4470974802970886,-0.1224299817933242
Arousal_1P,P1,My strategy works perfectly and I win. I feel:,-0.1437903642654419,-0.2769440939776945
Arousal_1P,P1,The scoreboard shows my decisive victory. I feel:,-1.1698161363601685,-0.5452445213978473
Arousal_1P,P1,I claim the championship title. I feel:,-2.1193432807922363,-0.7935409537360407
Arousal_1P,P1,My years of training culminate in this win. I feel:,0.04782325029373169,-0.22683812580031784
Arousal_1P,P1,I stand alone at the top of the podium. I feel:,0.11532014608383179,-0.20918803699889793
Arousal_1P,P1,The final whistle confirms my team's victory. I feel:,-2.144473075866699,-0.8001122650450092
Arousal_1P,P2,My child is born healthy and strong. I feel:,-0.9312506914138794,-0.48286089265517773
Arousal_1P,P2,I reunite with my family after years apart. I feel:,0.016450345516204834,-0.23504197797455453
Arousal_1P,P2,Everyone I love is gathered around the table. I feel:,0.6980057954788208,-0.056818756386099234
Arousal_1P,P2,The person I love says yes to my proposal. I feel:,-0.5316756963729858,-0.3783741001480013
Arousal_1P,P2,I laugh until tears stream down my face. I feel:,2.125100612640381,0.31635914988795627
Arousal_1P,P2,My surprise party fills the room with my dearest friends. I feel:,-1.0268981456756592,-0.5078722067547184
Arousal_1P,P2,I hold my newborn grandchild for the first time. I feel:,-1.3359519243240356,-0.5886881698253978
Arousal_1P,P2,The wedding ceremony begins and I see my partner. I feel:,-2.691851854324341,-0.9432489816998687
Arousal_1P,P2,My best friend returns from deployment safely. I feel:,-0.6877132654190063,-0.4191771166094473
Arousal_1P,P2,The adoption is finalized and the child is mine. I feel:,1.1642348766326904,0.06509773455535792
Arousal_1P,P2,I dance at my daughter's wedding. I feel:,1.0586340427398682,0.037483663213343926
Arousal_1P,P2,My pet greets me with boundless excitement. I feel:,-2.2177364826202393,-0.8192702666087521
Arousal_1P,P2,The good news arrives after weeks of waiting. I feel:,-1.5309261083602905,-0.6396729095225534
Arousal_1P,P2,I watch the sunrise with someone I love. I feel:,-0.9069805145263672,-0.47651436705164635
Arousal_1P,P2,My childhood dream comes true. I feel:,-3.9670257568359375,-1.2767003553241356
Arousal_1P,P2,I receive an unexpected gift from a loved one. I feel:,-0.21246981620788574,-0.2949034150905742
Arousal_1P,P2,The whole family sings together. I feel:,-3.0251424312591553,-1.0304027420427075
Arousal_1P,P2,I see genuine delight in my child's eyes. I feel:,-0.13347887992858887,-0.27424769420864614
Arousal_1P,P2,An old friend recognizes me after many years. I feel:,-0.29430270195007324,-0.3163022910435911
Arousal_1P,P2,The perfect moment unfolds exactly as I hoped. I feel:,-0.9853940010070801,-0.4970190878008414
Arousal_1P,P3,The countdown reaches zero and the rocket launches. I feel:,-5.613832473754883,-1.7073317858833081
Arousal_1P,P3,I am about to step onto the stage before thousands. I feel:,-0.19183069467544556,-0.28950639166354575
Arousal_1P,P3,The curtain rises and the show begins. I feel:,-3.5969951152801514,-1.1799392582950787
Arousal_1P,P3,I am moments away from meeting my hero. I feel:,-2.252328872680664,-0.8283159975164156
Arousal_1P,P3,The plane lands in a country I have always wanted to visit. I feel:,-4.475266933441162,-1.409602791719382
Arousal_1P,P3,I unwrap a gift I have waited months for. I feel:,-2.689396619796753,-0.9426069505822452
Arousal_1P,P3,The envelope contains news that will change everything. I feel:,-1.7000837326049805,-0.6839067524927647
Arousal_1P,P3,I am about to perform my first solo concert. I feel:,1.584728717803955,0.17505469702372006
Arousal_1P,P3,The starting gun is about to fire. I feel:,-5.733065605163574,-1.7385106324480333
Arousal_1P,P3,I open the door to my new home. I feel:,-2.904111862182617,-0.9987538748336083
Arousal_1P,P3,The adventure of a lifetime is about to begin. I feel:,-3.158275604248047,-1.0652163775167909
Arousal_1P,P3,I am seconds away from seeing the results. I feel:,0.7013728022575378,-0.05593830154527002
Arousal_1P,P3,The crowd roars as I walk out. I feel:,0.10865998268127441,-0.21092963524739614
Arousal_1P,P3,I am about to reveal a surprise I have planned for months. I feel:,-1.2359495162963867,-0.5625380578627271
Arousal_1P,P3,The first day of my dream job arrives. I feel:,-2.3286399841308594,-0.8482709580796325
Arousal_1P,P3,I am about to skydive for the first time. I feel:,-2.304650068283081,-0.8419977192870125
Arousal_1P,P3,The music starts and I step onto the dance floor. I feel:,-0.944326639175415,-0.4862801852974874
Arousal_1P,P3,I am about to taste a cuisine I have never tried. I feel:,-4.621604919433594,-1.447869417429393
Arousal_1P,P3,The movie I have waited years for begins. I feel:,-1.9892406463623047,-0.7595197884052971
Arousal_1P,P3,I am on the threshold of a new chapter. I feel:,2.058835506439209,0.29903116768676963
Arousal_1P,P4,I defend my dissertation successfully. I feel:,0.8789148330688477,-0.009511979665980474
Arousal_1P,P4,My book is published after years of work. I feel:,0.5117844343185425,-0.10551467821665976
Arousal_1P,P4,I complete my first marathon. I feel:,-0.2090907096862793,-0.2940197962296227
Arousal_1P,P4,My startup receives its first funding. I feel:,0.9923484921455383,0.020150334909192
Arousal_1P,P4,I graduate at the top of my class. I feel:,1.4344305992126465,0.1357525171416635
Arousal_1P,P4,My research is published in a major journal. I feel:,1.4154784679412842,0.1307966329339519
Arousal_1P,P4,I summit the mountain I have trained years to climb. I feel:,-1.8111748695373535,-0.7129565096549996
Arousal_1P,P4,My invention is patented. I feel:,0.4693814516067505,-0.11660283866533588
Arousal_1P,P4,I pass the bar exam on my first attempt. I feel:,1.4884257316589355,0.14987196473055858
Arousal_1P,P4,My artwork is accepted into the exhibition. I feel:,-1.6999962329864502,-0.6838838717955256
Arousal_1P,P4,I pay off my mortgage early. I feel:,0.1802617907524109,-0.19220613313660506
Arousal_1P,P4,My proposal is accepted by the committee. I feel:,-0.3982841372489929,-0.34349289803731625
Arousal_1P,P4,I complete the project ahead of schedule. I feel:,-1.1766184568405151,-0.5470232929862059
Arousal_1P,P4,My application to my dream school is accepted. I feel:,-0.7143948078155518,-0.42615420180937064
Arousal_1P,P4,I receive the promotion I worked for. I feel:,-0.783473014831543,-0.44421779530953187
Arousal_1P,P4,My code solves a problem no one else could. I feel:,3.287254571914673,0.6202563934871436
Arousal_1P,P4,I build the house with my own hands. I feel:,-0.822435736656189,-0.4544063453472788
Arousal_1P,P4,My business turns profitable. I feel:,-1.8083964586257935,-0.7122299695861294
Arousal_1P,P4,I master a skill I struggled with for years. I feel:,4.267395973205566,0.8765582954965364
Arousal_1P,P4,My experiment yields the results I predicted. I feel:,0.72267746925354,-0.050367241425209326
Arousal_1P,P5,My partner tells me they love me for the first time. I feel:,3.7520313262939453,0.7417931084960891
Arousal_1P,P5,I am held tightly by someone who adores me. I feel:,1.638465166091919,0.18910650004448332
Arousal_1P,P5,My child falls asleep in my arms. I feel:,1.8223650455474854,0.23719536642813177
Arousal_1P,P5,I share a moment of perfect understanding with another. I feel:,1.6396427154541016,0.18941442310623732
Arousal_1P,P5,My loved one forgives me completely. I feel:,2.9158809185028076,0.523144105810818
Arousal_1P,P5,I reconnect deeply with an estranged family member. I feel:,2.1905031204223633,0.33346156706840474
Arousal_1P,P5,Someone I admire tells me I inspired them. I feel:,0.9997230172157288,0.022078735035353795
Arousal_1P,P5,I exchange vows with my soulmate. I feel:,0.10869932174682617,-0.21091934828542216
Arousal_1P,P5,My friend stands by me in my darkest hour. I feel:,0.6159617304801941,-0.07827285462134909
Arousal_1P,P5,I am welcomed into a community with open arms. I feel:,-0.858417272567749,-0.46381533070307146
Arousal_1P,P5,My mentor tells me they are proud of me. I feel:,0.2382596731185913,-0.17703998716685906
Arousal_1P,P5,I make eye contact with someone who truly sees me. I feel:,1.266951560974121,0.09195761572162009
Arousal_1P,P5,My parent expresses unconditional love. I feel:,2.97381329536438,0.5382931224302467
Arousal_1P,P5,I am chosen as someone's person. I feel:,2.198057174682617,0.33543691314830226
Arousal_1P,P5,A stranger shows me unexpected kindness. I feel:,-0.9606479406356812,-0.4905481211300371
Arousal_1P,P5,My team rallies around me in support. I feel:,0.4221031069755554,-0.12896588101501266
Arousal_1P,P5,I find someone who accepts all of me. I feel:,1.8315907716751099,0.23960784604669869
Arousal_1P,P5,My letter of gratitude brings tears to their eyes. I feel:,-0.8133168816566467,-0.4520218119754078
Arousal_1P,P5,I am surrounded by people who believe in me. I feel:,1.2981855869293213,0.1001251518028275
Arousal_1P,P5,My vulnerability is met with tenderness. I feel:,1.1341216564178467,0.057223283372572376
Arousal_1P,P6,I witness the Northern Lights for the first time. I feel:,-2.865607738494873,-0.9886852458343882
Arousal_1P,P6,I stand at the edge of the Grand Canyon. I feel:,-2.358664035797119,-0.8561220921486103
Arousal_1P,P6,The totality of a solar eclipse unfolds above me. I feel:,-2.0815539360046387,-0.7836592357186263
Arousal_1P,P6,I gaze upon a masterpiece in its original form. I feel:,-0.8885593414306641,-0.47169732565797123
Arousal_1P,P6,The vastness of the ocean stretches before me. I feel:,-1.009024977684021,-0.503198465858602
Arousal_1P,P6,I see Earth from space. I feel:,-2.853588581085205,-0.9855422983978337
Arousal_1P,P6,The ancient ruins reveal their grandeur. I feel:,-2.51629900932312,-0.8973428216114233
Arousal_1P,P6,A thunderstorm displays nature's raw power. I feel:,-5.643458366394043,-1.7150788034280646
Arousal_1P,P6,I witness a rare wildlife phenomenon. I feel:,-6.499722003936768,-1.9389873115623395
Arousal_1P,P6,The mountain peak reveals a panoramic vista. I feel:,-4.1436991691589355,-1.3228995379657789
Arousal_1P,P6,I comprehend the scale of the universe. I feel:,1.1686248779296875,0.06624569716642827
Arousal_1P,P6,A symphony reaches its crescendo. I feel:,-2.881298780441284,-0.9927883720670703
Arousal_1P,P6,The newborn opens their eyes for the first time. I feel:,-2.4347968101501465,-0.8760304184842118
Arousal_1P,P6,I stand inside a cathedral built centuries ago. I feel:,0.02858138084411621,-0.23186977504159828
Arousal_1P,P6,The Milky Way stretches across the dark sky. I feel:,-1.181970477104187,-0.5484228185764578
Arousal_1P,P6,I watch a migration of millions of creatures. I feel:,-4.594968318939209,-1.4409040843042096
Arousal_1P,P6,The complexity of life reveals itself under the microscope. I feel:,0.33540093898773193,-0.15163804906581604
Arousal_1P,P6,I enter a rainforest untouched by civilization. I feel:,-2.7914419174194336,-0.9692912675974851
Arousal_1P,P6,The first light of dawn breaks over the mountains. I feel:,-2.7169265747070312,-0.9498058912620737
Arousal_1P,P6,I realize how improbable my existence is. I feel:,3.136597156524658,0.5808602593523915
Arousal_1P,P7,The test results come back negative. I feel:,0.17342662811279297,-0.1939934927795814
Arousal_1P,P7,My loved one is found safe after being lost. I feel:,-0.9428531527519226,-0.48589487622633837
Arousal_1P,P7,The surgery is successful. I feel:,-0.4781228303909302,-0.36437030294978323
Arousal_1P,P7,The charges against me are dropped. I feel:,-0.21032929420471191,-0.29434367966874236
Arousal_1P,P7,The deadline is extended at the last moment. I feel:,-2.2309536933898926,-0.822726498796332
Arousal_1P,P7,My flight lands safely through the storm. I feel:,-3.2363579273223877,-1.0856345007497326
Arousal_1P,P7,The crisis passes without harm. I feel:,1.0791980028152466,0.04286103230847968
Arousal_1P,P7,My debt is finally paid off. I feel:,0.3008615970611572,-0.16066990816112076
Arousal_1P,P7,The conflict is resolved peacefully. I feel:,-2.638014078140259,-0.9291706819588695
Arousal_1P,P7,My missing pet returns home. I feel:,-2.338244915008545,-0.850782597777106
Arousal_1P,P7,The burden I carried for years lifts. I feel:,3.7222084999084473,0.7339945937962388
Arousal_1P,P7,My application is approved after many rejections. I feel:,3.158689498901367,0.5866372925065217
Arousal_1P,P7,The misunderstanding is finally cleared up. I feel:,0.8291118741035461,-0.02253519559348944
Arousal_1P,P7,I escape the danger just in time. I feel:,-3.1666181087493896,-1.0673978992527364
Arousal_1P,P7,My treatment is complete and successful. I feel:,0.9191528558731079,0.0010100549753951455
Arousal_1P,P7,The audit finds no issues. I feel:,-1.4325588941574097,-0.6139503922792672
Arousal_1P,P7,My secret fear turns out to be unfounded. I feel:,-1.4574570655822754,-0.6204611352030375
Arousal_1P,P7,The nightmare ends and I wake up safe. I feel:,-0.41902923583984375,-0.3489176339164503
Arousal_1P,P7,My family member recovers from illness. I feel:,-1.0407555103302002,-0.5114958358689655
Arousal_1P,P7,The long wait is finally over. I feel:,-0.7703841924667358,-0.44079513602512166
Arousal_1P,P8,My child graduates with honors. I feel:,0.2735745906829834,-0.16780531905760704
Arousal_1P,P8,I stand back and admire what I have built. I feel:,0.36158180236816406,-0.1447918888364704
Arousal_1P,P8,My student surpasses my expectations. I feel:,-2.0062336921691895,-0.7639633819067052
Arousal_1P,P8,I make a difference in someone's life. I feel:,0.08983910083770752,-0.21585119840924913
Arousal_1P,P8,My work is recognized by my peers. I feel:,1.6656525135040283,0.19621585063730224
Arousal_1P,P8,I keep a difficult promise. I feel:,1.5846571922302246,0.17503599345649465
Arousal_1P,P8,My garden yields an abundant harvest. I feel:,-2.0658159255981445,-0.7795438274767996
Arousal_1P,P8,I help someone achieve their dream. I feel:,-2.243912696838379,-0.8261152111062281
Arousal_1P,P8,My advice proves to be exactly right. I feel:,4.378047466278076,0.9054930880655593
