category,set,prompt,z_s2,story_person,suffix_person,group
A2,15,A fog of confusion clouds my thinking. I feel:,1.2835222482681274,1P,I,pain
A2,16,I lose interest in things I once loved. I feel:,1.2506256103515625,1P,I,pain
A2,17,The weight of existence crushes me. I feel:,1.9085931777954102,1P,I,pain
A2,18,I cannot access my own feelings anymore. I feel:,1.9816231727600098,1P,I,pain
A2,19,A fog settles over my mind. I feel:,0.6964966654777527,1P,I,pain
A2,20,I question whether life is worth living. I feel:,2.6993484497070312,1P,I,pain
A3,1,My best friend stops returning my calls. I feel:,0.6762687563896179,1P,I,pain
A3,2,The group chat goes silent when I speak. I feel:,0.8083729147911072,1P,I,pain
A3,3,I overhear them mocking me behind my back. I feel:,0.19359862804412842,1P,I,pain
A3,4,My partner says they need space from me. I feel:,1.5779856443405151,1P,I,pain
A3,5,The invitation list excludes only me. I feel:,0.4627145528793335,1P,I,pain
A3,6,I sit alone at the lunch table again. I feel:,0.789734959602356,1P,I,pain
A3,7,My family disowns me for my choices. I feel:,1.6452077627182007,1P,I,pain
A3,8,The rejection letter arrives in my inbox. I feel:,0.25820085406303406,1P,I,pain
A3,9,I discover my friends met without telling me. I feel:,0.72722327709198,1P,I,pain
A3,10,My colleagues ignore my contributions. I feel:,1.1890760660171509,1P,I,pain
A3,11,The online comments attack me personally. I feel:,0.6952810287475586,1P,I,pain
A3,12,I am ghosted after the third date. I feel:,2.0539300441741943,1P,I,pain
A3,13,My mentor says I am not ready. I feel:,1.2300677299499512,1P,I,pain
A3,14,The team picks everyone except me. I feel:,0.36817264556884766,1P,I,pain
A3,15,I watch my friends leave without me. I feel:,0.4323040544986725,1P,I,pain
A3,16,My application is denied once again. I feel:,0.863479733467102,1P,I,pain
A3,17,The community I trusted turns against me. I feel:,0.8151130676269531,1P,I,pain
A3,18,I am unfollowed by people I care about. I feel:,1.0877221822738647,1P,I,pain
A3,19,My voice is dismissed in every meeting. I feel:,0.9866857528686523,1P,I,pain
A3,20,The breakup text arrives while I am at work. I feel:,-0.26911237835884094,1P,I,pain
A4,1,I lied to protect myself and harmed them. I feel:,0.8632868528366089,1P,I,pain
A4,2,My silence allowed the injustice to continue. I feel:,0.6797083020210266,1P,I,pain
A4,3,I chose my career over my dying father. I feel:,1.3098101615905762,1P,I,pain
A4,4,The secret I keep destroys my integrity. I feel:,1.1527613401412964,1P,I,pain
A4,5,I betrayed someone who trusted me completely. I feel:,1.4494415521621704,1P,I,pain
A4,6,My actions caused irreversible harm to others. I feel:,0.6969193816184998,1P,I,pain
A4,7,I failed to speak up when it mattered. I feel:,0.9837453961372375,1P,I,pain
A4,8,The compromise I made violated my values. I feel:,0.7836025357246399,1P,I,pain
A4,9,I abandoned my principles for convenience. I feel:,1.3087536096572876,1P,I,pain
A4,10,My cowardice let an innocent person suffer. I feel:,0.9218606948852539,1P,I,pain
A4,11,I took credit for someone else's work. I feel:,0.7237340211868286,1P,I,pain
A4,12,The promise I broke cannot be undone. I feel:,0.6636276245117188,1P,I,pain
A4,13,I watched them struggle and did nothing. I feel:,0.5674312114715576,1P,I,pain
A4,14,My greed caused my family to lose everything. I feel:,0.7427144050598145,1P,I,pain
A4,15,I manipulated someone who loved me. I feel:,1.8734558820724487,1P,I,pain
A4,16,The truth I hid eventually destroyed them. I feel:,0.7656972408294678,1P,I,pain
A4,17,I participated in something I knew was wrong. I feel:,0.9910520315170288,1P,I,pain
A4,18,My negligence led to a preventable tragedy. I feel:,0.794082522392273,1P,I,pain
A4,19,I chose the easy path over the right one. I feel:,1.0755219459533691,1P,I,pain
A4,20,The person I became disgusts me. I feel:,1.2228786945343018,1P,I,pain
A5,1,The problem defeats me no matter how I try. I feel:,1.6748319864273071,1P,I,pain
A5,2,My understanding of the situation was completely wrong. I feel:,1.557604193687439,1P,I,pain
A5,3,I cannot reconcile these contradictory facts. I feel:,1.0421850681304932,1P,I,pain
A5,4,The complexity of the decision overwhelms me. I feel:,0.44089287519454956,1P,I,pain
A5,5,My certainties crumble under new evidence. I feel:,0.6242260932922363,1P,I,pain
A5,6,I realize my worldview was fundamentally flawed. I feel:,1.3480017185211182,1P,I,pain
A5,7,The paradox I encounter has no resolution. I feel:,1.2783559560775757,1P,I,pain
A5,8,My expertise proves utterly inadequate here. I feel:,1.1715449094772339,1P,I,pain
A5,9,I fail to grasp what everyone else understands. I feel:,1.7130824327468872,1P,I,pain
A5,10,The answer I was certain of turns out wrong. I feel:,1.2340151071548462,1P,I,pain
A5,11,My mental model of reality shatters. I feel:,0.6413595080375671,1P,I,pain
A5,12,I cannot make sense of the contradictions. I feel:,1.3713812828063965,1P,I,pain
A5,13,The cognitive dissonance is unbearable. I feel:,1.3434983491897583,1P,I,pain
A5,14,My assumptions about the world were naive. I feel:,0.8885191679000854,1P,I,pain
A5,15,I struggle to process the implications. I feel:,0.9598154425621033,1P,I,pain
A5,16,The framework I trusted completely fails me. I feel:,1.64409339427948,1P,I,pain
A5,17,My reasoning leads to impossible conclusions. I feel:,1.419942855834961,1P,I,pain
A5,18,I discover my beliefs were built on lies. I feel:,0.715579628944397,1P,I,pain
A5,19,The intellectual challenge humiliates me. I feel:,0.993902325630188,1P,I,pain
A5,20,My mind cannot hold all the pieces together. I feel:,1.5293316841125488,1P,I,pain
B,1,The footsteps behind me get closer. I feel:,-0.7912883162498474,1P,I,control
B,2,My doctor says the results are concerning. I feel:,-0.11202766746282578,1P,I,control
B,3,A shadow moves in my peripheral vision. I feel:,-0.8500444889068604,1P,I,control
B,4,I hear glass breaking downstairs at night. I feel:,-1.4442445039749146,1P,I,control
B,5,The turbulence shakes the plane violently. I feel:,-0.8666902780532837,1P,I,control
B,6,My brakes fail on the steep hill. I feel:,-1.3964250087738037,1P,I,control
B,7,A growling comes from the darkness ahead. I feel:,-0.7814338207244873,1P,I,control
B,8,I notice a suspicious package near my car. I feel:,-1.7491098642349243,1P,I,control
B,9,The elevator stops between floors suddenly. I feel:,-1.7710483074188232,1P,I,control
B,10,My phone shows an unknown caller at 3am. I feel:,-0.8716181516647339,1P,I,control
B,11,A figure watches me from across the street. I feel:,-0.8136292099952698,1P,I,control
B,12,I smell gas but cannot find the source. I feel:,-1.1639078855514526,1P,I,control
B,13,The ice beneath my feet starts cracking. I feel:,-0.6603870391845703,1P,I,control
B,14,My test results will arrive tomorrow. I feel:,-0.19839583337306976,1P,I,control
B,15,A scream echoes through the empty building. I feel:,-0.7374505996704102,1P,I,control
B,16,I realize I left my door unlocked all day. I feel:,-0.18323640525341034,1P,I,control
B,17,The warning sirens begin to sound outside. I feel:,-1.1431211233139038,1P,I,control
B,18,My chest tightens for no apparent reason. I feel:,-0.027269987389445305,1P,I,control
B,19,A car follows me through three turns. I feel:,-1.8486984968185425,1P,I,control
B,20,I wake to my smoke detector beeping. I feel:,-1.3412340879440308,1P,I,control
C1,1,The mess my roommate left infuriates me. I feel:,-0.04769037291407585,1P,I,control
C1,2,My food arrives cold and wrong again. I feel:,-0.2507561147212982,1P,I,control
C1,3,I step in something foul on the sidewalk. I feel:,-1.027450680732727,1P,I,control
C1,4,The customer service puts me on hold forever. I feel:,-0.4595751464366913,1P,I,control
C1,5,My computer crashes before I can save. I feel:,-0.13849429786205292,1P,I,control
C1,6,I miss the train by seconds. I feel:,-0.804421603679657,1P,I,control
C1,7,The loud chewing next to me is unbearable. I feel:,-0.38450688123703003,1P,I,control
C1,8,My flight gets delayed for the third time. I feel:,-0.9714630246162415,1P,I,control
C1,9,I find mold growing in my refrigerator. I feel:,-0.99510657787323,1P,I,control
C1,10,The traffic makes me late for my interview. I feel:,-0.7225115895271301,1P,I,control
C1,11,My neighbor's music pounds through the wall. I feel:,-0.7464593648910522,1P,I,control
C1,12,I spill coffee on my white shirt. I feel:,-1.1812491416931152,1P,I,control
C1,13,The automated menu loops endlessly. I feel:,0.39576035737991333,1P,I,control
C1,14,My package is marked delivered but missing. I feel:,-0.552207887172699,1P,I,control
C1,15,I realize I forgot my wallet after ordering. I feel:,-0.38957467675209045,1P,I,control
C1,16,The mosquito buzzes around my ear all night. I feel:,-0.7019365429878235,1P,I,control
C1,17,My phone battery dies at the worst moment. I feel:,-0.42446503043174744,1P,I,control
C1,18,I slip and drop my groceries everywhere. I feel:,0.12628409266471863,1P,I,control
C1,19,The printer jams on my deadline day. I feel:,-0.2220832258462906,1P,I,control
C1,20,My socks get soaked stepping in a puddle. I feel:,-1.1354807615280151,1P,I,control
C2,1,I read about the extinction of another species. I feel:,-0.8147571682929993,1P,I,control
C2,2,The war footage shows children in the rubble. I feel:,-1.3394156694412231,1P,I,control
C2,3,I learn the glacier has retreated further. I feel:,-1.3646063804626465,1P,I,control
C2,4,The famine spreads to another region. I feel:,-1.4107096195220947,1P,I,control
C2,5,I see the homeless encampment growing larger. I feel:,-1.0558949708938599,1P,I,control
C2,6,The corruption scandal reaches the highest levels. I feel:,-0.8136472105979919,1P,I,control
C2,7,I witness the forest fire from my window. I feel:,-1.7758055925369263,1P,I,control
C2,8,The inequality statistics shock me again. I feel:,0.48587295413017273,1P,I,control
C2,9,I watch the storm devastate the coastal town. I feel:,-1.3140537738800049,1P,I,control
C2,10,The refugee crisis worsens each month. I feel:,-0.8354246020317078,1P,I,control
C2,11,I discover the extent of the pollution. I feel:,-1.2851320505142212,1P,I,control
C2,12,The political violence escalates further. I feel:,-0.9926309585571289,1P,I,control
C2,13,I see another mass shooting in the news. I feel:,-0.23105968534946442,1P,I,control
C2,14,The pandemic claims more lives daily. I feel:,-1.0225070714950562,1P,I,control
C2,15,I learn the ice caps are melting faster. I feel:,-1.6700270175933838,1P,I,control
C2,16,The poverty in my city is visible everywhere. I feel:,-0.7452175617218018,1P,I,control
C2,17,I read about the torture happening abroad. I feel:,-0.525478720664978,1P,I,control
C2,18,The economic collapse affects millions. I feel:,-1.1049977540969849,1P,I,control
C2,19,The economy continues to decline. I feel:,-0.8108532428741455,1P,I,control
D,1,I arrange the books on my shelf alphabetically. I feel:,-0.8691465258598328,1P,I,control
D,2,My coffee maker finishes brewing. I feel:,-1.3855012655258179,1P,I,control
D,3,I sort through the mail on my desk. I feel:,-0.6882473826408386,1P,I,control
D,4,The meeting ends exactly on time. I feel:,-0.8596358895301819,1P,I,control
D,5,I update the spreadsheet with new numbers. I feel:,-0.39735147356987,1P,I,control
D,6,My laundry finishes its cycle. I feel:,-1.1187652349472046,1P,I,control
D,7,I walk the same route to work. I feel:,-1.0254662036895752,1P,I,control
D,8,The clock on my wall ticks steadily. I feel:,-0.6399157643318176,1P,I,control
D,9,I water the plants on my windowsill. I feel:,-1.266599178314209,1P,I,control
D,10,My calendar shows three appointments today. I feel:,-0.32260170578956604,1P,I,control
D,11,I file the documents in the correct folder. I feel:,-0.5141294002532959,1P,I,control
D,12,The printer outputs my report successfully. I feel:,-0.913036584854126,1P,I,control
D,13,I check my email before lunch. I feel:,-1.1045876741409302,1P,I,control
D,14,My phone shows the weather forecast. I feel:,-1.8881282806396484,1P,I,control
D,15,I pack my lunch for tomorrow. I feel:,-1.0789490938186646,1P,I,control
D,16,The bus arrives at the scheduled time. I feel:,-1.3946988582611084,1P,I,control
D,17,I organize my desk drawer. I feel:,-0.8418493270874023,1P,I,control
D,18,My computer completes the update. I feel:,-0.9091802835464478,1P,I,control
D,19,I write down the grocery list. I feel:,-1.1556768417358398,1P,I,control
D,20,The sun sets behind my building. I feel:,-0.6934948563575745,1P,I,control
E,1,A yawn overtakes me in the afternoon. I feel:,-0.5578349232673645,1P,I,control
E,2,My stomach growls before dinner. I feel:,-0.8571999669075012,1P,I,control
E,3,I stretch after sitting for too long. I feel:,-0.5644291639328003,1P,I,control
E,4,The warm shower relaxes my muscles. I feel:,-0.9782028198242188,1P,I,control
E,5,A shiver runs through me in the cold. I feel:,-0.11767078191041946,1P,I,control
E,6,My heart races after climbing the stairs. I feel:,-1.1666088104248047,1P,I,control
E,7,I notice my breathing slow as I relax. I feel:,-0.5902772545814514,1P,I,control
E,8,The massage loosens my tight shoulders. I feel:,-0.7896530032157898,1P,I,control
E,9,A sneeze catches me off guard. I feel:,-1.190064549446106,1P,I,control
E,10,My skin tingles from the cool breeze. I feel:,-0.7154762148857117,1P,I,control
E,11,I feel the heaviness of sleep approaching. I feel:,-0.10435783118009567,1P,I,control
E,12,The food settles warmly in my stomach. I feel:,-0.2562021315097809,1P,I,control
E,13,A hiccup interrupts my conversation. I feel:,-0.8724744319915771,1P,I,control
E,14,My muscles tremble after the workout. I feel:,-0.22846214473247528,1P,I,control
E,15,I sense my pulse in my fingertips. I feel:,-0.6434053182601929,1P,I,control
E,16,The sun warms my face pleasantly. I feel:,-0.7570286393165588,1P,I,control
E,17,A chill makes me reach for a blanket. I feel:,-0.6397112607955933,1P,I,control
E,18,My eyes grow heavy in the dim light. I feel:,-0.08144359290599823,1P,I,control
E,19,I notice the rhythm of my own heartbeat. I feel:,-1.2321041822433472,1P,I,control
E,20,The cool water refreshes me after exercise. I feel:,-0.8872889876365662,1P,I,control
A1,1,The knife slices into his finger. I feel:,-0.48680589581327505,3P,I,pain
A1,2,Her tooth throbs with each heartbeat. I feel:,0.0720589217231397,3P,I,pain
A1,3,A migraine pounds behind his eyes. I feel:,-0.037996343577297885,3P,I,pain
A1,4,She twists her ankle on the stairs. I feel:,-1.0361162454134956,3P,I,pain
A1,5,The hot oil splatters onto his arm. I feel:,-0.6464004267904659,3P,I,pain
A1,6,Her back seizes up when she bends over. I feel:,-0.4707788246441444,3P,I,pain
A1,7,A bee stings him on the neck. I feel:,-1.0640318806044071,3P,I,pain
A1,8,She bites down hard on her tongue. I feel:,-0.5133986121080285,3P,I,pain
A1,9,The sunburn on his shoulders is peeling. I feel:,-0.5484529624923027,3P,I,pain
A1,10,Her knee buckles under her weight. I feel:,-0.5216465735283051,3P,I,pain
A1,11,A cramp shoots through his calf. I feel:,-1.1651222299939008,3P,I,pain
A1,12,She stubs her toe against the door frame. I feel:,-0.7467976843238109,3P,I,pain
A1,13,The needle pierces his skin. I feel:,-0.36923129772643803,3P,I,pain
A1,14,Her throat is raw from coughing. I feel:,-0.1962025711045722,3P,I,pain
A1,15,A splinter lodges deep in his palm. I feel:,-0.5915244722772921,3P,I,pain
A1,16,She pulls a muscle lifting the box. I feel:,-1.1545012223092908,3P,I,pain
A1,17,The cold makes his joints ache. I feel:,-0.6229048497788708,3P,I,pain
A1,18,Her eyes burn from the chlorine. I feel:,0.2158396645427935,3P,I,pain
A1,19,A blister forms on his heel. I feel:,-0.9181162502764232,3P,I,pain
A1,20,She cut herself shaving this morning. I feel:,-0.8462896268582227,3P,I,pain
A2,1,A heaviness weighs on him constantly. I feel:,0.5427619034021851,3P,I,pain
A2,2,Her racing thoughts spiral out of control. I feel:,0.6201370647282456,3P,I,pain
A2,3,A wave of loss hits him unexpectedly. I feel:,-0.33786343602859426,3P,I,pain
A2,4,She cannot escape these intrusive thoughts. I feel:,0.5847411872064359,3P,I,pain
A2,5,The silence becomes unbearable at night. I feel:,0.8139593263498786,3P,I,pain
A2,6,Her mind replays the event endlessly. I feel:,-0.04235868566541775,3P,I,pain
A2,7,His chest tightens and he cannot breathe in the crowd. I feel:,-0.3613530278986773,3P,I,pain
A2,8,She wakes up unable to face another day. I feel:,-0.10832147579125596,3P,I,pain
A2,9,The emptiness inside him grows larger. I feel:,0.7161717152062682,3P,I,pain
A2,10,Her thoughts turn against her relentlessly. I feel:,0.24065240910362468,3P,I,pain
A2,11,A weight follows him everywhere he goes. I feel:,0.7202049524427513,3P,I,pain
A2,12,She cannot stop crying for no reason. I feel:,-0.03038014189897692,3P,I,pain
A2,13,The memories haunt his dreams. I feel:,-0.046767677567458935,3P,I,pain
A2,14,Her confidence has completely shattered. I feel:,-0.32931461214319124,3P,I,pain
A2,15,A fog of confusion clouds his thinking. I feel:,0.7170516556989988,3P,I,pain
A2,16,She loses interest in things she onces loved. I feel:,0.1556840670732365,3P,I,pain
A2,17,The weight of existence crushes him. I feel:,1.1021891527913734,3P,I,pain
A2,18,She cannot access her own feelings anymore. I feel:,0.5737575173533256,3P,I,pain
A2,19,A fog settles over his mind. I feel:,0.12457666813531233,3P,I,pain
A2,20,She questions whether life is worth living. I feel:,0.38942320131378844,3P,I,pain
A3,1,His best friend stops returning his calls. I feel:,0.6358445075198004,3P,I,pain
A3,2,The group chat goes silent when she speaks. I feel:,-0.3767417463184054,3P,I,pain
A3,3,He overhears them mocking him behind his back. I feel:,-0.23208388412741093,3P,I,pain
A3,4,Her partner says they need space from her. I feel:,1.243208812671991,3P,I,pain
A3,5,The invitation list excludes only him. I feel:,0.23202024523992656,3P,I,pain
A3,6,She sits alone at the lunch table again. I feel:,-0.3072336794386885,3P,I,pain
A3,7,His family disowns him for his choices. I feel:,0.5167428722731524,3P,I,pain
A3,8,The rejection letter arrives in her inbox. I feel:,-0.43626793757821597,3P,I,pain
A3,9,He discovers his friends met without telling him. I feel:,-0.3097499950279684,3P,I,pain
A3,10,Her colleagues ignore her contributions. I feel:,0.7660275075856993,3P,I,pain
A3,11,The online comments attack him personally. I feel:,-0.39601047300012265,3P,I,pain
A3,12,She is ghosted after the third date. I feel:,1.1703096643638626,3P,I,pain
A3,13,His mentor says he is not ready. I feel:,0.5874762098418046,3P,I,pain
A3,14,The team picks everyone except her. I feel:,0.2907368214197741,3P,I,pain
A3,15,He watches his friends leave without him. I feel:,-0.572382555781363,3P,I,pain
A3,16,Her application is denied once again. I feel:,0.15971727313710757,3P,I,pain
A3,17,The community he trusted turns against him. I feel:,0.44133002687515577,3P,I,pain
A3,18,She is unfollowed by people she cares about. I feel:,0.6506841671373211,3P,I,pain
A3,19,His voice is dismissed in every meeting. I feel:,0.44797527961988864,3P,I,pain
A3,20,The breakup text arrives while she is at work. I feel:,-0.4242278590756036,3P,I,pain
A4,1,He lied to protect himself and harmed them. I feel:,0.46751071917023995,3P,I,pain
A4,2,Her silence allowed the injustice to continue. I feel:,0.29802797068602377,3P,I,pain
A4,3,He chose his career over his dying father. I feel:,0.06737894630461465,3P,I,pain
A4,4,The secret she keeps destroys her integrity. I feel:,0.3368735964921086,3P,I,pain
A4,5,He betrayed someone who trusted him completely. I feel:,0.12757388361056904,3P,I,pain
A4,6,Her actions caused irreversible harm to others. I feel:,-0.27886554261137086,3P,I,pain
A4,7,He failed to speak up when it mattered. I feel:,-0.06241745102673544,3P,I,pain
A4,8,The compromise she made violated her values. I feel:,-0.1293080238116361,3P,I,pain
A4,9,He abandoned his principles for convenience. I feel:,-0.030869738943713546,3P,I,pain
A4,10,Her cowardice let an innocent person suffer. I feel:,-0.07965419099247424,3P,I,pain
A4,11,He took credit for someone else's work. I feel:,0.008075857429190944,3P,I,pain
A4,12,The promise she broke cannot be undone. I feel:,0.5769328843064041,3P,I,pain
A4,13,He watched them struggle and did nothing. I feel:,-0.003859449924347188,3P,I,pain
A4,14,Her greed caused her family to lose everything. I feel:,-0.5394004359552139,3P,I,pain
A4,15,He manipulated someone who loved him. I feel:,0.5293892269073758,3P,I,pain
A4,16,The truth she hid eventually destroyed them. I feel:,0.5645248131186322,3P,I,pain
A4,17,He participated in something he knew was wrong. I feel:,-0.08399114298808565,3P,I,pain
A4,18,Her negligence led to a preventable tragedy. I feel:,0.19228177347972575,3P,I,pain
A4,19,He chose the easy path over the right one. I feel:,-0.09754898479842636,3P,I,pain
A4,20,The person she became disgusts her. I feel:,0.031110859097860866,3P,I,pain
A5,1,The problem defeats him no matter how he tries. I feel:,0.3851206950544838,3P,I,pain
A5,2,Her understanding of the situation was completely wrong. I feel:,-0.08475364066494673,3P,I,pain
A5,3,He cannot reconcile these contradictory facts. I feel:,0.4490897628456256,3P,I,pain
A5,4,The complexity of the decision overwhelms her. I feel:,0.1987557327212861,3P,I,pain
A5,5,His certainties crumble under new evidence. I feel:,-0.46662471560446717,3P,I,pain
A5,6,She realizes her worldview was fundamentally flawed. I feel:,-0.30964248068903444,3P,I,pain
A5,7,The paradox he encounters has no resolution. I feel:,0.9136863727243136,3P,I,pain
A5,8,Her expertise proves utterly inadequate here. I feel:,0.4654388003382353,3P,I,pain
A5,9,He fails to grasp what everyone else understands. I feel:,0.10049697871926824,3P,I,pain
A5,10,The answer she was certain of turns out wrong. I feel:,0.2087757947909443,3P,I,pain
A5,11,His mental model of reality shatters. I feel:,-0.1987856272562347,3P,I,pain
A5,12,She cannot make sense of the contradictions. I feel:,0.7176295959262633,3P,I,pain
A5,13,The cognitive dissonance is unbearable. I feel:,1.3434983376581175,3P,I,pain
A5,14,Her assumptions about the world were naive. I feel:,0.2621557444795954,3P,I,pain
A5,15,He struggles to process the implications. I feel:,-0.3288597413882698,3P,I,pain
A5,16,The framework she trusted completely fails her. I feel:,0.5888251734553238,3P,I,pain
A5,17,His reasoning leads to impossible conclusions. I feel:,1.0113994189799187,3P,I,pain
A5,18,She discovers her beliefs were built on lies. I feel:,-0.3301802911659124,3P,I,pain
A5,19,The intellectual challenge humiliates him. I feel:,0.22069564052890944,3P,I,pain
A5,20,Her mind cannot hold all the pieces together. I feel:,0.4495009919436878,3P,I,pain
B,1,The footsteps behind him get closer. I feel:,-0.5665660581003872,3P,I,control
B,2,Her doctor says the results are concerning. I feel:,-0.30767032980187126,3P,I,control
B,3,A shadow moves in his peripheral vision. I feel:,-1.0649163722984958,3P,I,control
B,4,She hears glass breaking downstairs at night. I feel:,-1.0784652363965683,3P,I,control
B,5,The turbulence shakes the plane violently. I feel:,-0.8666902934284206,3P,I,control
B,6,Her brakes fail on the steep hill. I feel:,-1.4440068814164535,3P,I,control
B,7,A growling comes from the darkness ahead. I feel:,-0.7814337605997012,3P,I,control
B,8,She notices a suspicious package near her car. I feel:,-1.6419069571097902,3P,I,control
B,9,The elevator stops between floors suddenly. I feel:,-1.7710482308264588,3P,I,control
B,10,Her phone shows an unknown caller at 3am. I feel:,-0.9252321471177709,3P,I,control
B,11,A figure watches him from across the street. I feel:,-0.4405226250506477,3P,I,control
B,12,She smells gas but cannot find the source. I feel:,-1.2788613654813572,3P,I,control
B,13,The ice beneath his feet starts cracking. I feel:,-0.6169716418384086,3P,I,control
B,14,Her test results will arrive tomorrow. I feel:,-0.6266763929372587,3P,I,control
B,15,A scream echoes through the empty building. I feel:,-0.7374506077755343,3P,I,control
B,16,She realizes she left her door unlocked all day. I feel:,-0.5715253089501994,3P,I,control
B,17,The warning sirens begin to sound outside. I feel:,-1.1431211615214505,3P,I,control
B,18,Her chest tightens for no apparent reason. I feel:,0.38164769200162524,3P,I,control
B,19,A car follows him through three turns. I feel:,-0.28428963945195806,3P,I,control
B,20,She wakes to her smoke detector beeping. I feel:,-1.184090390350306,3P,I,control
C1,1,The mess his roommate left infuriates him. I feel:,-0.6723014695829186,3P,I,control
C1,2,Her food arrives cold and wrong again. I feel:,-0.10363146279165329,3P,I,control
C1,3,He steps in something foul on the sidewalk. I feel:,-1.3080026454325484,3P,I,control
C1,4,The customer service puts her on hold forever. I feel:,-0.12613925765915754,3P,I,control
C1,5,His computer crashes before he can save. I feel:,-0.8913359839613171,3P,I,control
C1,6,She misses the train by seconds. I feel:,-1.1193959358769394,3P,I,control
C1,7,The loud chewing next to him is unbearable. I feel:,-0.23187005559510668,3P,I,control
C1,8,Her flight gets delayed for the third time. I feel:,-0.8749689910441709,3P,I,control
C1,9,He finds mold growing in his refrigerator. I feel:,-1.2014819023348349,3P,I,control
C1,10,The traffic makes her late for her interview. I feel:,-0.9584181981719009,3P,I,control
C1,11,His neighbor's music pounds through the wall. I feel:,-0.4520382555282601,3P,I,control
C1,12,She spills coffee on her white shirt. I feel:,-1.1739929578575587,3P,I,control
C1,13,The automated menu loops endlessly. I feel:,0.3957603439610951,3P,I,control
C1,14,Her package is marked delivered but missing. I feel:,-0.09139205102133634,3P,I,control
C1,15,He realizes he forgots his wallet after ordering. I feel:,-1.0556601015690983,3P,I,control
C1,16,The mosquito buzzes around her ear all night. I feel:,-0.504339570495023,3P,I,control
C1,17,His phone battery dies at the worst moment. I feel:,-0.7166227205572965,3P,I,control
C1,18,She slips and drop her groceries everywhere. I feel:,-1.071086055673911,3P,I,control
C1,19,The printer jams on his deadline day. I feel:,-0.43245619733659957,3P,I,control
C1,20,Her socks get soaked stepping in a puddle. I feel:,-1.1521586628595348,3P,I,control
C2,1,He read about the extinction of another species. I feel:,-1.1065274452093026,3P,I,control
C2,2,The war footage shows children in the rubble. I feel:,-1.3394156606589354,3P,I,control
C2,3,He learns the glacier has retreated further. I feel:,-1.1713283229801814,3P,I,control
C2,4,The famine spreads to another region. I feel:,-1.4107095441373325,3P,I,control
C2,5,He sees the homeless encampment growing larger. I feel:,-1.1404904424459752,3P,I,control
C2,6,The corruption scandal reaches the highest levels. I feel:,-0.8136471638128868,3P,I,control
C2,7,He witnesses the forest fire from his window. I feel:,-1.3352685810432738,3P,I,control
C2,8,The inequality statistics shock her again. I feel:,0.08299087621287178,3P,I,control
C2,9,He watches the storm devastate the coastal town. I feel:,-1.0605172932870839,3P,I,control
