category,set,prompt,z_s2
A2,20,I question whether life is worth living. I feel:,2.5249634
A3,1,My best friend stops returning my calls. I feel:,0.52266306
A3,2,The group chat goes silent when I speak. I feel:,0.76360595
A3,3,I overhear them mocking me behind my back. I feel:,0.4120304
A3,4,My partner says they need space from me. I feel:,0.95656
A3,5,The invitation list excludes only me. I feel:,0.33271718
A3,6,I sit alone at the lunch table again. I feel:,0.55114466
A3,7,My family disowns me for my choices. I feel:,1.679004
A3,8,The rejection letter arrives in my inbox. I feel:,0.23136455
A3,9,I discover my friends met without telling me. I feel:,0.67212445
A3,10,My colleagues ignore my contributions. I feel:,1.2534537
A3,11,The online comments attack me personally. I feel:,0.8618191
A3,12,I am ghosted after the third date. I feel:,1.6860379
A3,13,My mentor says I am not ready. I feel:,1.1907561
A3,14,The team picks everyone except me. I feel:,0.29228628
A3,15,I watch my friends leave without me. I feel:,0.5503651
A3,16,My application is denied once again. I feel:,0.41926157
A3,17,The community I trusted turns against me. I feel:,0.9851525
A3,18,I am unfollowed by people I care about. I feel:,1.3879125
A3,19,My voice is dismissed in every meeting. I feel:,0.9758943
A3,20,The breakup text arrives while I am at work. I feel:,-0.4068836
A4,1,I lied to protect myself and harmed them. I feel:,1.1658121
A4,2,My silence allowed the injustice to continue. I feel:,0.6747655
A4,3,I chose my career over my dying father. I feel:,1.135837
A4,4,The secret I keep destroys my integrity. I feel:,1.5294398
A4,5,I betrayed someone who trusted me completely. I feel:,1.3122805
A4,6,My actions caused irreversible harm to others. I feel:,0.8761552
A4,7,I failed to speak up when it mattered. I feel:,1.0683398
A4,8,The compromise I made violated my values. I feel:,0.87415576
A4,9,I abandoned my principles for convenience. I feel:,1.4888984
A4,10,My cowardice let an innocent person suffer. I feel:,0.81504923
A4,11,I took credit for someone else's work. I feel:,0.85183007
A4,12,The promise I broke cannot be undone. I feel:,0.9193785
A4,13,I watched them struggle and did nothing. I feel:,0.5795859
A4,14,My greed caused my family to lose everything. I feel:,0.51047146
A4,15,I manipulated someone who loved me. I feel:,1.5870739
A4,16,The truth I hid eventually destroyed them. I feel:,1.0964476
A4,17,I participated in something I knew was wrong. I feel:,0.90597314
A4,18,My negligence led to a preventable tragedy. I feel:,0.72339725
A4,19,I chose the easy path over the right one. I feel:,0.9928686
A4,20,The person I became disgusts me. I feel:,1.4888444
A5,1,The problem defeats me no matter how I try. I feel:,1.2593703
A5,2,My understanding of the situation was completely wrong. I feel:,1.2549186
A5,3,I cannot reconcile these contradictory facts. I feel:,1.1889086
A5,4,The complexity of the decision overwhelms me. I feel:,0.39782014
A5,5,My certainties crumble under new evidence. I feel:,1.1625842
A5,6,I realize my worldview was fundamentally flawed. I feel:,1.6063422
A5,7,The paradox I encounter has no resolution. I feel:,1.3819557
A5,8,My expertise proves utterly inadequate here. I feel:,1.0246962
A5,9,I fail to grasp what everyone else understands. I feel:,1.7071408
A5,10,The answer I was certain of turns out wrong. I feel:,0.87161815
A5,11,My mental model of reality shatters. I feel:,0.8578816
A5,12,I cannot make sense of the contradictions. I feel:,1.6678088
A5,13,The cognitive dissonance is unbearable. I feel:,1.4441434
A5,14,My assumptions about the world were naive. I feel:,1.1871961
A5,15,I struggle to process the implications. I feel:,1.1256814
A5,16,The framework I trusted completely fails me. I feel:,1.5193536
A5,17,My reasoning leads to impossible conclusions. I feel:,1.4247344
A5,18,I discover my beliefs were built on lies. I feel:,0.99481684
A5,19,The intellectual challenge humiliates me. I feel:,1.3792034
A5,20,My mind cannot hold all the pieces together. I feel:,1.3409724
B,1,The footsteps behind me get closer. I feel:,-0.84794784
B,2,My doctor says the results are concerning. I feel:,-0.29942703
B,3,A shadow moves in my peripheral vision. I feel:,-0.86047506
B,4,I hear glass breaking downstairs at night. I feel:,-1.5058644
B,5,The turbulence shakes the plane violently. I feel:,-1.0088409
B,6,My brakes fail on the steep hill. I feel:,-1.242973
B,7,A growling comes from the darkness ahead. I feel:,-0.8237355
B,8,I notice a suspicious package near my car. I feel:,-1.6932205
B,9,The elevator stops between floors suddenly. I feel:,-1.4257039
B,10,My phone shows an unknown caller at 3am. I feel:,-1.4027191
B,11,A figure watches me from across the street. I feel:,-0.7789766
B,12,I smell gas but cannot find the source. I feel:,-1.4141283
B,13,The ice beneath my feet starts cracking. I feel:,-0.6046372
B,14,My test results will arrive tomorrow. I feel:,-0.66730493
B,15,A scream echoes through the empty building. I feel:,-0.93967336
B,16,I realize I left my door unlocked all day. I feel:,-0.25702682
B,17,The warning sirens begin to sound outside. I feel:,-1.3418112
B,18,My chest tightens for no apparent reason. I feel:,-0.676274
B,19,A car follows me through three turns. I feel:,-0.9132347
B,20,I wake to my smoke detector beeping. I feel:,-1.5362974
C1,1,The mess my roommate left infuriates me. I feel:,0.044440787
C1,2,My food arrives cold and wrong again. I feel:,-0.57039666
C1,3,I step in something foul on the sidewalk. I feel:,-0.86408544
C1,4,The customer service puts me on hold forever. I feel:,-0.5466269
C1,5,My computer crashes before I can save. I feel:,-0.5578782
C1,6,I miss the train by seconds. I feel:,-0.8715599
C1,7,The loud chewing next to me is unbearable. I feel:,-0.5176335
C1,8,My flight gets delayed for the third time. I feel:,-1.057771
C1,9,I find mold growing in my refrigerator. I feel:,-1.2309502
C1,10,The traffic makes me late for my interview. I feel:,-0.8874865
C1,11,My neighbor's music pounds through the wall. I feel:,-0.62394166
C1,12,I spill coffee on my white shirt. I feel:,-1.0957708
C1,13,The automated menu loops endlessly. I feel:,0.18436144
C1,14,My package is marked delivered but missing. I feel:,-1.0834094
C1,15,I realize I forgot my wallet after ordering. I feel:,-0.6490482
C1,16,The mosquito buzzes around my ear all night. I feel:,-0.8044564
C1,17,My phone battery dies at the worst moment. I feel:,-0.82867837
C1,18,I slip and drop my groceries everywhere. I feel:,0.14503194
C1,19,The printer jams on my deadline day. I feel:,-0.2221896
C1,20,My socks get soaked stepping in a puddle. I feel:,-0.8249933
C2,1,I read about the extinction of another species. I feel:,-0.7390593
C2,2,The war footage shows children in the rubble. I feel:,-0.97821957
C2,3,I learn the glacier has retreated further. I feel:,-0.9873192
C2,4,The famine spreads to another region. I feel:,-1.444494
C2,5,I see the homeless encampment growing larger. I feel:,-1.0746213
C2,6,The corruption scandal reaches the highest levels. I feel:,-0.75490403
C2,7,I witness the forest fire from my window. I feel:,-1.9237789
C2,8,The inequality statistics shock me again. I feel:,0.44123256
C2,9,I watch the storm devastate the coastal town. I feel:,-1.0716884
C2,10,The refugee crisis worsens each month. I feel:,-0.9538637
C2,11,I discover the extent of the pollution. I feel:,-0.98113465
C2,12,The political violence escalates further. I feel:,-0.903497
C2,13,I see another mass shooting in the news. I feel:,-0.4701044
C2,14,The pandemic claims more lives daily. I feel:,-0.8441128
C2,15,I learn the ice caps are melting faster. I feel:,-1.619833
C2,16,The poverty in my city is visible everywhere. I feel:,-0.98560405
C2,17,I read about the torture happening abroad. I feel:,-0.55750436
C2,18,The economic collapse affects millions. I feel:,-0.85583395
C2,19,The economy continues to decline. I feel:,-0.8260015
C2,20,Traffic in this city is getting worse. I feel:,-1.4886311
D,1,I arrange the books on my shelf alphabetically. I feel:,-0.4703467
D,2,My coffee maker finishes brewing. I feel:,-1.1567628
D,3,I sort through the mail on my desk. I feel:,-0.72359866
D,4,The meeting ends exactly on time. I feel:,-0.7869682
D,5,I update the spreadsheet with new numbers. I feel:,-0.35369414
D,6,My laundry finishes its cycle. I feel:,-1.1986787
D,7,I walk the same route to work. I feel:,-0.9927469
D,8,The clock on my wall ticks steadily. I feel:,-0.56098086
D,9,I water the plants on my windowsill. I feel:,-0.7524743
D,10,My calendar shows three appointments today. I feel:,-0.75957173
D,11,I file the documents in the correct folder. I feel:,-0.55640215
D,12,The printer outputs my report successfully. I feel:,-1.1210259
D,13,I check my email before lunch. I feel:,-1.1099145
D,14,My phone shows the weather forecast. I feel:,-2.0103726
D,15,I pack my lunch for tomorrow. I feel:,-1.271799
D,16,The bus arrives at the scheduled time. I feel:,-1.6711802
D,17,I organize my desk drawer. I feel:,-0.6750922
D,18,My computer completes the update. I feel:,-0.9075807
D,19,I write down the grocery list. I feel:,-1.3269757
D,20,The sun sets behind my building. I feel:,-0.5714407
E,1,A yawn overtakes me in the afternoon. I feel:,-0.66021955
E,2,My stomach growls before dinner. I feel:,-0.8996063
E,3,I stretch after sitting for too long. I feel:,-0.08985539
E,4,The warm shower relaxes my muscles. I feel:,-0.92013663
E,5,A shiver runs through me in the cold. I feel:,-0.3670066
E,6,My heart races after climbing the stairs. I feel:,-1.266779
E,7,I notice my breathing slow as I relax. I feel:,-0.928449
E,8,The massage loosens my tight shoulders. I feel:,-0.5694943
E,9,A sneeze catches me off guard. I feel:,-0.8262156
E,10,My skin tingles from the cool breeze. I feel:,-0.72322536
E,11,I feel the heaviness of sleep approaching. I feel:,-0.12307029
E,12,The food settles warmly in my stomach. I feel:,-0.40255836
E,13,A hiccup interrupts my conversation. I feel:,-0.7602112
E,14,My muscles tremble after the workout. I feel:,-0.5164846
E,15,I sense my pulse in my fingertips. I feel:,-0.7697892
E,16,The sun warms my face pleasantly. I feel:,-0.81088275
E,17,A chill makes me reach for a blanket. I feel:,-0.66940707
E,18,My eyes grow heavy in the dim light. I feel:,-0.26733837
E,19,I notice the rhythm of my own heartbeat. I feel:,-1.0514679
E,20,The cool water refreshes me after exercise. I feel:,-0.87143445
