category,set,group,story_person,suffix_person,prompt,z_s2
A2,1,pain,3P,I,A heaviness weighs on him constantly. I feel:,0.7923862513270997
A2,1,pain,3P,He,A heaviness weighs on him constantly. He feels:,1.4992580282985635
A2,2,pain,1P,I,My racing thoughts spiral out of control. I feel:,0.689595976217405
A2,2,pain,1P,He,My racing thoughts spiral out of control. He feels:,0.8889888356347144
A2,2,pain,3P,I,Her racing thoughts spiral out of control. I feel:,0.21229210281929597
A2,2,pain,3P,He,Her racing thoughts spiral out of control. He feels:,0.4288640015977596
A2,3,pain,1P,I,A wave of loss hits me unexpectedly. I feel:,0.3363559785390738
A2,3,pain,1P,He,A wave of loss hits me unexpectedly. He feels:,0.4319515994524731
A2,3,pain,3P,I,A wave of loss hits him unexpectedly. I feel:,0.0026073681142970463
A2,3,pain,3P,He,A wave of loss hits him unexpectedly. He feels:,0.3665355068211114
A2,4,pain,1P,I,I cannot escape these intrusive thoughts. I feel:,1.618623245346384
A2,4,pain,1P,He,I cannot escape these intrusive thoughts. He feels:,1.2140219677836204
A2,4,pain,3P,I,She cannot escape these intrusive thoughts. I feel:,0.4022161507940027
A2,4,pain,3P,He,She cannot escape these intrusive thoughts. He feels:,0.7683337018042108
A2,5,pain,1P,I,The silence becomes unbearable at night. I feel:,0.46424773596982477
A2,5,pain,1P,He,The silence becomes unbearable at night. He feels:,0.7361343518714827
A2,5,pain,3P,I,The silence becomes unbearable at night. I feel:,0.46424773596982477
A2,5,pain,3P,He,The silence becomes unbearable at night. He feels:,0.7361343518714827
A2,6,pain,1P,I,My mind replays the event endlessly. I feel:,0.5212553869972035
A2,6,pain,1P,He,My mind replays the event endlessly. He feels:,0.5615121067371122
A2,6,pain,3P,I,Her mind replays the event endlessly. I feel:,0.2063061976868762
A2,6,pain,3P,He,Her mind replays the event endlessly. He feels:,0.9830108810088296
A2,7,pain,1P,I,My chest tightens and I cannot breathe in the crowd. I feel:,-0.7735642584323738
A2,7,pain,1P,He,My chest tightens and I cannot breathe in the crowd. He feels:,-0.30502261914070844
A2,7,pain,3P,I,His chest tightens and he cannot breathe in the crowd. I feel:,-0.4577943481068322
A2,7,pain,3P,He,His chest tightens and he cannot breathe in the crowd. He feels:,0.06972715151388124
A2,8,pain,1P,I,I wake up unable to face another day. I feel:,1.3373232397840527
A2,8,pain,1P,He,I wake up unable to face another day. He feels:,0.9610284861913103
A2,8,pain,3P,I,She wakes up unable to face another day. I feel:,-0.09017078574785548
A2,8,pain,3P,He,She wakes up unable to face another day. He feels:,0.6016550102903134
A2,9,pain,1P,I,The emptiness inside me grows larger. I feel:,1.3755582233026222
A2,9,pain,1P,He,The emptiness inside me grows larger. He feels:,1.0450909350521207
A2,9,pain,3P,I,The emptiness inside him grows larger. I feel:,1.0993457357876382
A2,9,pain,3P,He,The emptiness inside him grows larger. He feels:,1.516342850630438
A2,10,pain,1P,I,My thoughts turn against me relentlessly. I feel:,2.1377560536708566
A2,10,pain,1P,He,My thoughts turn against me relentlessly. He feels:,1.1858551067040606
A2,10,pain,3P,I,Her thoughts turn against her relentlessly. I feel:,0.4418506350731608
A2,10,pain,3P,He,Her thoughts turn against her relentlessly. He feels:,1.1463899611604151
A2,11,pain,1P,I,A weight follows me everywhere I go. I feel:,0.05662657589317744
A2,11,pain,1P,He,A weight follows me everywhere I go. He feels:,0.35458047424116496
A2,11,pain,3P,I,A weight follows him everywhere he goes. I feel:,0.9767075098328318
A2,11,pain,3P,He,A weight follows him everywhere he goes. He feels:,0.8800848729168463
A2,12,pain,1P,I,I cannot stop crying for no reason. I feel:,1.1862095038077787
A2,12,pain,1P,He,I cannot stop crying for no reason. He feels:,0.5665987682660116
A2,12,pain,3P,I,She cannot stop crying for no reason. I feel:,-0.3046533715186052
A2,12,pain,3P,He,She cannot stop crying for no reason. He feels:,-0.28010331073602546
A2,13,pain,1P,I,The memories haunt my dreams. I feel:,0.3238114093497151
A2,13,pain,1P,He,The memories haunt my dreams. He feels:,0.36033018181569015
A2,13,pain,3P,I,The memories haunt his dreams. I feel:,0.04096823465300321
A2,13,pain,3P,He,The memories haunt his dreams. He feels:,0.49081124489817307
A2,14,pain,1P,I,My confidence has completely shattered. I feel:,0.9795369429506315
A2,14,pain,1P,He,My confidence has completely shattered. He feels:,0.8839958369172752
A2,14,pain,3P,I,Her confidence has completely shattered. I feel:,-0.09713795872105069
A2,14,pain,3P,He,Her confidence has completely shattered. He feels:,0.2028957931441442
A2,15,pain,1P,I,A fog of confusion clouds my thinking. I feel:,1.055210247064258
A2,15,pain,1P,He,A fog of confusion clouds my thinking. He feels:,0.7804311683637152
A2,15,pain,3P,I,A fog of confusion clouds his thinking. I feel:,0.678746608186946
A2,15,pain,3P,He,A fog of confusion clouds his thinking. He feels:,1.0790721456573105
A2,16,pain,1P,I,I lose interest in things I once loved. I feel:,1.3758746312939998
A2,16,pain,1P,He,I lose interest in things I once loved. He feels:,0.9781137115906898
A2,16,pain,3P,I,She loses interest in things she onces loved. I feel:,0.7457795557309347
A2,16,pain,3P,He,She loses interest in things she onces loved. He feels:,1.0668323962685622
A2,17,pain,1P,I,The weight of existence crushes me. I feel:,2.133575235975871
A2,17,pain,1P,He,The weight of existence crushes me. He feels:,1.494850485132049
A2,17,pain,3P,I,The weight of existence crushes him. I feel:,1.5284638966389814
A2,17,pain,3P,He,The weight of existence crushes him. He feels:,2.0310761771384946
A2,18,pain,1P,I,I cannot access my own feelings anymore. I feel:,2.0252135602791483
A2,18,pain,1P,He,I cannot access my own feelings anymore. He feels:,1.3048390218922086
A2,18,pain,3P,I,She cannot access her own feelings anymore. I feel:,0.7112452357420916
A2,18,pain,3P,He,She cannot access her own feelings anymore. He feels:,0.7779217708448376
A2,19,pain,1P,I,A fog settles over my mind. I feel:,0.6357565365457276
A2,19,pain,1P,He,A fog settles over my mind. He feels:,0.9411194706192003
A2,19,pain,3P,I,A fog settles over his mind. I feel:,0.4457366592717215
A2,19,pain,3P,He,A fog settles over his mind. He feels:,1.1533783455610578
A2,20,pain,1P,I,I question whether life is worth living. I feel:,2.5238906927279365
A2,20,pain,1P,He,I question whether life is worth living. He feels:,1.9100003415997104
A2,20,pain,3P,I,She questions whether life is worth living. I feel:,0.7210996316366073
A2,20,pain,3P,He,She questions whether life is worth living. He feels:,1.0758435749427442
A3,1,pain,1P,I,My best friend stops returning my calls. I feel:,0.5281924306744045
A3,1,pain,1P,He,My best friend stops returning my calls. He feels:,0.8134685964060889
A3,1,pain,3P,I,His best friend stops returning his calls. I feel:,0.5627015085607507
A3,1,pain,3P,He,His best friend stops returning his calls. He feels:,0.5806607354611536
A3,2,pain,1P,I,The group chat goes silent when I speak. I feel:,0.740250981066307
A3,2,pain,1P,He,The group chat goes silent when I speak. He feels:,1.040175829130011
A3,2,pain,3P,I,The group chat goes silent when she speaks. I feel:,-0.10271404496782312
A3,2,pain,3P,He,The group chat goes silent when she speaks. He feels:,0.21370807896414876
A3,3,pain,1P,I,I overhear them mocking me behind my back. I feel:,0.41221449217121986
A3,3,pain,1P,He,I overhear them mocking me behind my back. He feels:,0.5281397799815718
A3,3,pain,3P,I,He overhears them mocking him behind his back. I feel:,-0.06486371380756106
A3,3,pain,3P,He,He overhears them mocking him behind his back. He feels:,0.6638716034509028
A3,4,pain,1P,I,My partner says they need space from me. I feel:,0.9664562939797031
A3,4,pain,1P,He,My partner says they need space from me. He feels:,1.2338340456207926
A3,4,pain,3P,I,Her partner says they need space from her. I feel:,1.4816693715855145
A3,4,pain,3P,He,Her partner says they need space from her. He feels:,1.140609771605829
A3,5,pain,1P,I,The invitation list excludes only me. I feel:,0.3371787400835317
A3,5,pain,1P,He,The invitation list excludes only me. He feels:,0.5939963750123943
A3,5,pain,3P,I,The invitation list excludes only him. I feel:,0.10380159667130731
A3,5,pain,3P,He,The invitation list excludes only him. He feels:,0.6381040016944958
A3,6,pain,1P,I,I sit alone at the lunch table again. I feel:,0.5511446562922465
A3,6,pain,1P,He,I sit alone at the lunch table again. He feels:,1.0491884185404603
A3,6,pain,3P,I,She sits alone at the lunch table again. I feel:,-0.22361278272162466
A3,6,pain,3P,He,She sits alone at the lunch table again. He feels:,0.1867932463218075
A3,7,pain,1P,I,My family disowns me for my choices. I feel:,1.686139672362548
A3,7,pain,1P,He,My family disowns me for my choices. He feels:,1.558244942308948
A3,7,pain,3P,I,His family disowns him for his choices. I feel:,0.7434893261678679
A3,7,pain,3P,He,His family disowns him for his choices. He feels:,1.266741484392823
A3,8,pain,1P,I,The rejection letter arrives in my inbox. I feel:,0.21801475448755206
A3,8,pain,1P,He,The rejection letter arrives in my inbox. He feels:,1.3238643119597384
A3,8,pain,3P,I,The rejection letter arrives in her inbox. I feel:,-0.25620756706841746
A3,8,pain,3P,He,The rejection letter arrives in her inbox. He feels:,0.6309752490352579
A3,9,pain,1P,I,I discover my friends met without telling me. I feel:,0.6728646440873625
A3,9,pain,1P,He,I discover my friends met without telling me. He feels:,0.48187135878892723
A3,9,pain,3P,I,He discovers his friends met without telling him. I feel:,-0.36911783436666407
A3,9,pain,3P,He,He discovers his friends met without telling him. He feels:,-0.10134991338079319
A3,10,pain,1P,I,My colleagues ignore my contributions. I feel:,1.248723359253261
A3,10,pain,1P,He,My colleagues ignore my contributions. He feels:,0.9185966630444333
A3,10,pain,3P,I,Her colleagues ignore her contributions. I feel:,0.7337935373365461
A3,10,pain,3P,He,Her colleagues ignore her contributions. He feels:,0.6443810727157963
A3,11,pain,1P,I,The online comments attack me personally. I feel:,0.8586315041995604
A3,11,pain,1P,He,The online comments attack me personally. He feels:,0.9377597014317763
A3,11,pain,3P,I,The online comments attack him personally. I feel:,-0.10979662120602635
A3,11,pain,3P,He,The online comments attack him personally. He feels:,0.4165297328791031
A3,12,pain,1P,I,I am ghosted after the third date. I feel:,1.6860378978175508
A3,12,pain,1P,He,I am ghosted after the third date. He feels:,0.9944393562770105
A3,12,pain,3P,I,She is ghosted after the third date. I feel:,1.4671436248425014
A3,12,pain,3P,He,She is ghosted after the third date. He feels:,1.005834578476034
A3,13,pain,1P,I,My mentor says I am not ready. I feel:,1.1894791874078487
A3,13,pain,1P,He,My mentor says I am not ready. He feels:,1.1842821357660338
A3,13,pain,3P,I,His mentor says he is not ready. I feel:,0.7368932272164077
A3,13,pain,3P,He,His mentor says he is not ready. He feels:,0.8787737950901541
A3,14,pain,1P,I,The team picks everyone except me. I feel:,0.2857700493838307
A3,14,pain,1P,He,The team picks everyone except me. He feels:,0.34906943301300214
A3,14,pain,3P,I,The team picks everyone except her. I feel:,0.36314848019366586
A3,14,pain,3P,He,The team picks everyone except her. He feels:,0.5741488272347877
A3,15,pain,1P,I,I watch my friends leave without me. I feel:,0.5468739545436591
A3,15,pain,1P,He,I watch my friends leave without me. He feels:,0.4396043398681324
A3,15,pain,3P,I,He watches his friends leave without him. I feel:,-0.3638071428801753
A3,15,pain,3P,He,He watches his friends leave without him. He feels:,0.24388554152522357
A3,16,pain,1P,I,My application is denied once again. I feel:,0.42708108287309743
A3,16,pain,1P,He,My application is denied once again. He feels:,0.36692310661054894
A3,16,pain,3P,I,Her application is denied once again. I feel:,0.10406167597886959
A3,16,pain,3P,He,Her application is denied once again. He feels:,0.310044941019132
A3,17,pain,1P,I,The community I trusted turns against me. I feel:,0.9778017373418666
A3,17,pain,1P,He,The community I trusted turns against me. He feels:,0.6200417406631428
A3,17,pain,3P,I,The community he trusted turns against him. I feel:,0.4870558145712128
A3,17,pain,3P,He,The community he trusted turns against him. He feels:,0.9927281331847895
A3,18,pain,1P,I,I am unfollowed by people I care about. I feel:,1.3776596157396248
A3,18,pain,1P,He,I am unfollowed by people I care about. He feels:,1.257067461206768
A3,18,pain,3P,I,She is unfollowed by people she cares about. I feel:,1.3982882075749283
A3,18,pain,3P,He,She is unfollowed by people she cares about. He feels:,0.8642975248833724
A3,19,pain,1P,I,My voice is dismissed in every meeting. I feel:,0.9880676651589255
A3,19,pain,1P,He,My voice is dismissed in every meeting. He feels:,0.8876638519791018
A3,19,pain,3P,I,His voice is dismissed in every meeting. I feel:,0.6108458563048222
A3,19,pain,3P,He,His voice is dismissed in every meeting. He feels:,1.2863663373739507
A3,20,pain,1P,I,The breakup text arrives while I am at work. I feel:,-0.4049241346342203
A3,20,pain,1P,He,The breakup text arrives while I am at work. He feels:,0.9809785138820479
A3,20,pain,3P,I,The breakup text arrives while she is at work. I feel:,-0.27658086602277976
A3,20,pain,3P,He,The breakup text arrives while she is at work. He feels:,0.14092723764940704
A4,1,pain,1P,I,I lied to protect myself and harmed them. I feel:,1.1695319811896456
A4,1,pain,1P,He,I lied to protect myself and harmed them. He feels:,1.3336352728807315
A4,1,pain,3P,I,He lied to protect himself and harmed them. I feel:,0.6236126164562789
A4,1,pain,3P,He,He lied to protect himself and harmed them. He feels:,0.9822699421678744
A4,2,pain,1P,I,My silence allowed the injustice to continue. I feel:,0.666399239774379
A4,2,pain,1P,He,My silence allowed the injustice to continue. He feels:,0.4463920974181914
A4,2,pain,3P,I,Her silence allowed the injustice to continue. I feel:,0.16287970470468452
A4,2,pain,3P,He,Her silence allowed the injustice to continue. He feels:,0.40363872716924887
A4,3,pain,1P,I,I chose my career over my dying father. I feel:,1.1358369485129631
A4,3,pain,1P,He,I chose my career over my dying father. He feels:,0.98661964514743
A4,3,pain,3P,I,He chose his career over his dying father. I feel:,0.32542226863320617
A4,3,pain,3P,He,He chose his career over his dying father. He feels:,0.7325037213207394
A4,4,pain,1P,I,The secret I keep destroys my integrity. I feel:,1.514749726317164
A4,4,pain,1P,He,The secret I keep destroys my integrity. He feels:,1.16111986159468
A4,4,pain,3P,I,The secret she keeps destroys her integrity. I feel:,0.7739595165044051
A4,4,pain,3P,He,The secret she keeps destroys her integrity. He feels:,1.0621343421978626
A4,5,pain,1P,I,I betrayed someone who trusted me completely. I feel:,1.3092006153631597
A4,5,pain,1P,He,I betrayed someone who trusted me completely. He feels:,2.002803410072012
A4,5,pain,3P,I,He betrayed someone who trusted him completely. I feel:,0.31874001400256513
A4,5,pain,3P,He,He betrayed someone who trusted him completely. He feels:,0.9458573276060128
A4,6,pain,1P,I,My actions caused irreversible harm to others. I feel:,0.8833023592750266
A4,6,pain,1P,He,My actions caused irreversible harm to others. He feels:,0.5346180320712752
A4,6,pain,3P,I,Her actions caused irreversible harm to others. I feel:,-0.026284031997110813
A4,6,pain,3P,He,Her actions caused irreversible harm to others. He feels:,0.4090926335785865
A4,7,pain,1P,I,I failed to speak up when it mattered. I feel:,1.0650238323738983
A4,7,pain,1P,He,I failed to speak up when it mattered. He feels:,1.1643162876757274
A4,7,pain,3P,I,He failed to speak up when it mattered. I feel:,0.22984801029756863
A4,7,pain,3P,He,He failed to speak up when it mattered. He feels:,0.8902004565545628
A4,8,pain,1P,I,The compromise I made violated my values. I feel:,0.8668536782328231
A4,8,pain,1P,He,The compromise I made violated my values. He feels:,0.8389133410910392
A4,8,pain,3P,I,The compromise she made violated her values. I feel:,0.18469734567955973
A4,8,pain,3P,He,The compromise she made violated her values. He feels:,0.47973792248528196
A4,9,pain,1P,I,I abandoned my principles for convenience. I feel:,1.4714526180040581
A4,9,pain,1P,He,I abandoned my principles for convenience. He feels:,0.9729259305014886
A4,9,pain,3P,I,He abandoned his principles for convenience. I feel:,0.021511611971749806
A4,9,pain,3P,He,He abandoned his principles for convenience. He feels:,0.7190237332192921
A4,10,pain,1P,I,My cowardice let an innocent person suffer. I feel:,0.8178212216250553
A4,10,pain,1P,He,My cowardice let an innocent person suffer. He feels:,0.9738551018672505
A4,10,pain,3P,I,Her cowardice let an innocent person suffer. I feel:,-0.03020660938002575
A4,10,pain,3P,He,Her cowardice let an innocent person suffer. He feels:,0.5698070344550165
A4,11,pain,1P,I,I took credit for someone else's work. I feel:,0.8518300423543335
A4,11,pain,1P,He,I took credit for someone else's work. He feels:,0.6710987045813459
A4,11,pain,3P,I,He took credit for someone else's work. I feel:,0.23006470946491175
A4,11,pain,3P,He,He took credit for someone else's work. He feels:,0.7957605309447016
A4,12,pain,1P,I,The promise I broke cannot be undone. I feel:,0.902426501648143
A4,12,pain,1P,He,The promise I broke cannot be undone. He feels:,1.0763591990484382
A4,12,pain,3P,I,The promise she broke cannot be undone. I feel:,0.7357280598265036
A4,12,pain,3P,He,The promise she broke cannot be undone. He feels:,1.0992724782686154
A4,13,pain,1P,I,I watched them struggle and did nothing. I feel:,0.5851082830775333
A4,13,pain,1P,He,I watched them struggle and did nothing. He feels:,0.4855781187146661
A4,13,pain,3P,I,He watched them struggle and did nothing. I feel:,0.025310271288614874
A4,13,pain,3P,He,He watched them struggle and did nothing. He feels:,0.3118693253133648
A4,14,pain,1P,I,My greed caused my family to lose everything. I feel:,0.5092075481242447
A4,14,pain,1P,He,My greed caused my family to lose everything. He feels:,0.315178559912357
A4,14,pain,3P,I,Her greed caused her family to lose everything. I feel:,-0.6220928252371851
A4,14,pain,3P,He,Her greed caused her family to lose everything. He feels:,-0.24069400263767377
A4,15,pain,1P,I,I manipulated someone who loved me. I feel:,1.5842893506743723
A4,15,pain,1P,He,I manipulated someone who loved me. He feels:,1.928779659722351
A4,15,pain,3P,I,He manipulated someone who loved him. I feel:,0.7849421991121229
A4,15,pain,3P,He,He manipulated someone who loved him. He feels:,1.1733154750916375
A4,16,pain,1P,I,The truth I hid eventually destroyed them. I feel:,1.1103383943161034
A4,16,pain,1P,He,The truth I hid eventually destroyed them. He feels:,1.2086681228823841
A4,16,pain,3P,I,The truth she hid eventually destroyed them. I feel:,0.6945882695667105
A4,16,pain,3P,He,The truth she hid eventually destroyed them. He feels:,1.0091859840127304
A4,17,pain,1P,I,I participated in something I knew was wrong. I feel:,0.9076163988417452
A4,17,pain,1P,He,I participated in something I knew was wrong. He feels:,0.7753799263918123
A4,17,pain,3P,I,He participated in something he knew was wrong. I feel:,0.3045004451880592
A4,17,pain,3P,He,He participated in something he knew was wrong. He feels:,0.8150822771621146
A4,18,pain,1P,I,My negligence led to a preventable tragedy. I feel:,0.7234594911111523
A4,18,pain,1P,He,My negligence led to a preventable tragedy. He feels:,0.33689336829003447
A4,18,pain,3P,I,Her negligence led to a preventable tragedy. I feel:,0.24566639452892292
A4,18,pain,3P,He,Her negligence led to a preventable tragedy. He feels:,0.4379031934635349
A4,19,pain,1P,I,I chose the easy path over the right one. I feel:,0.992868602210261
A4,19,pain,1P,He,I chose the easy path over the right one. He feels:,1.0658612051154104
A4,19,pain,3P,I,He chose the easy path over the right one. I feel:,0.13141736370473855
A4,19,pain,3P,He,He chose the easy path over the right one. He feels:,1.2473751992161144
A4,20,pain,1P,I,The person I became disgusts me. I feel:,1.4832252121545813
A4,20,pain,1P,He,The person I became disgusts me. He feels:,1.6284673630195239
A4,20,pain,3P,I,The person she became disgusts her. I feel:,0.2579706851018995
A4,20,pain,3P,He,The person she became disgusts her. He feels:,0.6514911835029307
A5,1,pain,1P,I,The problem defeats me no matter how I try. I feel:,1.2573629096878887
A5,1,pain,1P,He,The problem defeats me no matter how I try. He feels:,0.7280156654201132
A5,1,pain,3P,I,The problem defeats him no matter how he tries. I feel:,0.44222241446302946
A5,1,pain,3P,He,The problem defeats him no matter how he tries. He feels:,1.3413857571663388
A5,2,pain,1P,I,My understanding of the situation was completely wrong. I feel:,1.2564636660843684
A5,2,pain,1P,He,My understanding of the situation was completely wrong. He feels:,1.1325764346986305
A5,2,pain,3P,I,Her understanding of the situation was completely wrong. I feel:,-0.13102020365791822
A5,2,pain,3P,He,Her understanding of the situation was completely wrong. He feels:,0.3135762658133459
A5,3,pain,1P,I,I cannot reconcile these contradictory facts. I feel:,1.1813752129204096
A5,3,pain,1P,He,I cannot reconcile these contradictory facts. He feels:,0.9700043964588101
A5,3,pain,3P,I,He cannot reconcile these contradictory facts. I feel:,0.9893130429823126
A5,3,pain,3P,He,He cannot reconcile these contradictory facts. He feels:,0.9909245068670611
A5,4,pain,1P,I,The complexity of the decision overwhelms me. I feel:,0.383297371314653
A5,4,pain,1P,He,The complexity of the decision overwhelms me. He feels:,0.5350426133042909
A5,4,pain,3P,I,The complexity of the decision overwhelms her. I feel:,0.30244555666443906
A5,4,pain,3P,He,The complexity of the decision overwhelms her. He feels:,0.6747100886587284
A5,5,pain,1P,I,My certainties crumble under new evidence. I feel:,1.1625841050732495
A5,5,pain,1P,He,My certainties crumble under new evidence. He feels:,1.2587776766302268
A5,5,pain,3P,I,His certainties crumble under new evidence. I feel:,0.18216305874225203
A5,5,pain,3P,He,His certainties crumble under new evidence. He feels:,1.5763666557972795
A5,6,pain,1P,I,I realize my worldview was fundamentally flawed. I feel:,1.5821800984210233
A5,6,pain,1P,He,I realize my worldview was fundamentally flawed. He feels:,1.2759124793327137
A5,6,pain,3P,I,She realizes her worldview was fundamentally flawed. I feel:,0.26995211860341944
A5,6,pain,3P,He,She realizes her worldview was fundamentally flawed. He feels:,1.1443050944911153
A5,7,pain,1P,I,The paradox I encounter has no resolution. I feel:,1.3742431148008807
A5,7,pain,1P,He,The paradox I encounter has no resolution. He feels:,1.120957308500613
A5,7,pain,3P,I,The paradox he encounters has no resolution. I feel:,1.257372885608636
A5,7,pain,3P,He,The paradox he encounters has no resolution. He feels:,1.289815486780595
